"Name","Company","Contact","Email","Segment","City","Priority","Stage","Status","Owner","SendDate","FollowUp1","FollowUp2","NextActionDate","NextAction","Variant","SubjectLine","PersonalizationHook","ReplyGoal","UTMLink","SourceURL","Notes"
"C&Q Executive Search - Francoise Pisters / Quierine Vossen","C&Q Executive Search","Francoise Pisters / Quierine Vossen","","executive search / interim boutique","","High","To Research","Not sent","Dhinesh","","","","","Find direct email or LinkedIn route","A","Kleine vraag over jullie kandidaat-CV workflow","Jullie boutique partnership en focus op kandidaatprofielen en shortlists maken C&Q een logische fit voor een vaste, Dutch-first kandidaat-CV workflow.","Herkenning van shortlist/CV-pijn en juiste contactroute","https://werkcv.nl/agency?utm_source=outbound&utm_medium=email&utm_campaign=agency_wave4&utm_content=cq-executive-search","https://cq-executivesearch.nl","2-person partnership, niche finance/HR/MKB. Candidate presentation quality likely matters."
"Vroom Executive Search & Interim - Pieter van de Ven","Vroom Executive Search & Interim","Pieter van de Ven","","executive search / interim boutique","","High","To Research","Not sent","Dhinesh","","","","","Find direct email or LinkedIn route","A","Kleine vraag over jullie kandidaat-CV workflow","Jullie CFO/finance focus lijkt precies het soort searchwerk waar kandidaatpresentatie richting PE en corporates veel handmatig werk kost.","Korte fit-check en juiste contactroute","https://werkcv.nl/agency?utm_source=outbound&utm_medium=email&utm_campaign=agency_wave4&utm_content=vroom-executive-search","https://vroomexecutivesearch.nl","Finance/CFO niche, boutique size. Candidate presentation to PE and corporates."
"FreshRecruitment","FreshRecruitment","","","recruitment boutique niche","","High","To Research","Not sent","Dhinesh","","","","","Find founder route and direct email","B","Kleine vraag over kandidaatprofielen binnen jullie niche","In een niche-team als jullie lijkt kandidaatpresentatie richting opdrachtgevers belangrijker dan volume, zeker als profielen per search opnieuw netjes moeten worden getrokken.","Juiste contactpersoon en herkenning van documentworkflow-pijn","https://werkcv.nl/agency?utm_source=outbound&utm_medium=email&utm_campaign=agency_wave4&utm_content=freshrecruitment","https://freshrecruitment.com","Founder contact on site. Food & Agri niche, small team, candidate presentation central."
"CeresGreen Recruitment","CeresGreen Recruitment","","","recruitment boutique niche","","High","To Research","Not sent","Dhinesh","","","","","Find founder route or direct email","B","Kleine vraag over jullie kandidaatprofiel-workflow","Jullie formulering rond een uitgebreid profiel dat verder gaat dan alleen een CV raakt precies het punt waar standaardisatie en outputkwaliteit veel kunnen schelen.","Check of dit intern een terugkerend procesprobleem is","https://werkcv.nl/agency?utm_source=outbound&utm_medium=email&utm_campaign=agency_wave4&utm_content=ceresgreen","https://ceresgreen.nl","Explicitly mentions an uitgebreid profiel beyond just a CV. Very strong message fit."
"Werkcontact / outplacementbureau.nl - Joep","Werkcontact / outplacementbureau.nl","Joep","","outplacement / loopbaanbegeleiding","","High","To Research","Not sent","Dhinesh","","","","","Find direct email from site or send via form","C","Kleine vraag over CV-begeleiding in jullie trajecten","Jullie expliciete hulp bij CV en sollicitatiebrief maakt Werkcontact een sterke kandidaat voor een vaste, snellere documentflow zonder losse Word-sjablonen.","Herkenning van workflow-pijn en juiste contactroute","https://werkcv.nl/agency?utm_source=outbound&utm_medium=email&utm_campaign=agency_wave4&utm_content=werkcontact","https://outplacementbureau.nl","Small 1-person bureau, 20+ years, explicitly helps with CV + sollicitatiebrief."
"Menea","Menea","","","outplacement / re-integratie / loopbaancoaching","","Medium","To Research","Not sent","Dhinesh","","","","","Find direct email or best contact route","C","Kleine vraag over CV-begeleiding binnen jullie trajecten","Jullie combinatie van outplacement, re-integratie en groeiend coachnetwerk suggereert herhaalbaar documentwerk rond CV's en kandidaatprofielen.","Juiste contactpersoon en fit-check","https://werkcv.nl/agency?utm_source=outbound&utm_medium=email&utm_campaign=agency_wave4&utm_content=menea","https://menea.nl","Mid-size, outplacement + re-integratie + loopbaancoaching. Actively hiring ZZP coaches."
"Bureau Hoofdstuk - Jolanda Bakker","Bureau Hoofdstuk","Jolanda Bakker","","loopbaanbegeleiding / outplacement","","Medium","To Research","Not sent","Dhinesh","","","","","Find direct email or contact route","C","Kleine vraag over profiel- en CV-begeleiding","Bij een klein en persoonlijk loopbaanbureau als jullie lijkt het opschonen en gelijk trekken van kandidaatprofielen iets dat snel veel tijd kan kosten.","Korte fit-check en juiste contactroute","https://werkcv.nl/agency?utm_source=outbound&utm_medium=email&utm_campaign=agency_wave4&utm_content=bureau-hoofdstuk","https://hoofdstuk.nl","Small, personal, loopbaanbegeleiding focus. Candidate profile & CV central."
"Carriere Corazon","Carriere Corazon","","","solo coach / loopbaancoach","","Medium","To Research","Not sent","Dhinesh","","","","","Find direct email or use site form","Coach","Kleine vraag over CV-begeleiding in jullie trajecten","Als solo coach die persoonlijk in elk traject zit, voel je waarschijnlijk direct hoeveel tijd er gaat zitten in CV-opschoning en consistente output.","Directe interesse of snelle no-fit reactie","https://werkcv.nl/agency?utm_source=outbound&utm_medium=email&utm_campaign=agency_wave4&utm_content=carriere-corazon","https://carrierecorazon.nl","Solo NOLOC coach, 17+ years, personally involved in every traject."
"Parcoers / loopbaancoachutrecht.nl","Parcoers / loopbaancoachutrecht.nl","","","solo coach / loopbaancoach","Utrecht","Medium","To Research","Not sent","Dhinesh","","","","","Find direct email or use site form","Coach","Kleine vraag over CV-begeleiding in jullie trajecten","Voor een kleine praktijk die kandidaten begeleidt bij solliciteren, is een vaste CV-flow vaak interessanter dan opnieuw handmatig formatteren per traject.","Directe interesse of juiste contactroute","https://werkcv.nl/agency?utm_source=outbound&utm_medium=email&utm_campaign=agency_wave4&utm_content=loopbaancoachutrecht","https://loopbaancoachutrecht.nl","Solo coach, Utrecht. Coaches candidates on solliciteren including CV."
"LaMatu - Monika","LaMatu","Monika","monika@lamatu.com","coach / expat career support","","High","Warm intro","Active pilot","Dhinesh","","","","","Ask for testimonial and 2-3 warm intros","Coach","Korte vraag: testimonial + 2 warme intro's?","Omdat jullie al actief zijn, is dit de beste bron voor vergelijkbare coaches die hetzelfde CV-probleem herkennen.","Testimonial en warme introducties","https://werkcv.nl/agency?utm_source=customer&utm_medium=referral&utm_campaign=agency_wave4&utm_content=lamatu","https://lamatu.com","Already active. Ask for link, testimonial, and 2-3 intros to similar coaches."
