priority,tier,segment,organization,target_url,language,pitch_asset,pitch_angle,contact_route,status
P1,Tier 1,university,UvA Student Careers Centre - Solliciteren,https://student.uva.nl/onderwerpen/solliciteren,nl,"/cv-maken | /gratis-cv-template | /cv-gids","Resource-page inclusion for Dutch CV help and practical tools used after career workshops.","https://www.uva.nl/over-de-uva/contact-en-locaties/central-student-service-desk.html",todo
P1,Tier 1,university,UvA - Curriculum vitae,https://student.uva.nl/onderwerpen/curriculum-vitae,nl,"/cv-maken | /cv-voorbeelden | /gratis-cv-template","Supplement existing CV guidance with a Dutch-first practical builder and example hub.","https://www.uva.nl/over-de-uva/contact-en-locaties/central-student-service-desk.html",todo
P1,Tier 1,university,Erasmus University Rotterdam - Create a CV that stands out,https://www.eur.nl/en/education/practical-matters/advice-counselling/workshops/create-cv-stands-out,en,"/gratis-cv-template | /cv-maken | /for-coaches","Offer a practical post-workshop resource for students who need a Dutch CV workflow after the session.","careerservices@eur.nl",todo
P1,Tier 1,university,Erasmus University Rotterdam - Career advisor appointment,https://www.eur.nl/en/education/practical-matters/advice-counselling/career-services/appointment-individual-meeting,en,"/cv-gids | /cv-voorbeelden | /for-coaches","Position WerkCV as a follow-up resource for quick CV feedback sessions and self-service improvement.","careerservices@eur.nl",todo
P1,Tier 1,university,VU - Loopbaanondersteuning,https://vu.nl/nl/over-de-vu/diensten/dienst-universitaire-relaties-en-fondsenwerving/meer-over/loopbaanondersteuning,nl,"/cv-maken | /cv-gids | /for-coaches","Pitch a practical Dutch CV resource set that complements faculty coaching and CV/brief checks.","careerservices.vu@vu.nl",todo
P1,Tier 1,university,VU - Career Services,https://vu.nl/nl/over-de-vu/organisaties/career-services,nl,"/gratis-cv-template | /cv-gids | /sollicitatiebrief-in-engels","Resource-page inclusion under CV and job-application help, including internationals support.","careerservices.vu@vu.nl",todo
P1,Tier 1,university,VU Career Skills Day,https://vu.nl/en/events/2026/vu-career-skills-day-2026,en,"/for-coaches | /engels-cv-template | /cv-maken-in-engels","Workshop or partner-resource angle for CV and Dutch job-market basics for mixed Dutch and international audiences.","careerservices.vu@vu.nl",todo
P1,Tier 1,university,Maastricht University - Loopbaanontwikkeling,https://www.maastrichtuniversity.nl/nl/studeren/support/loopbaanontwikkeling,nl,"/for-coaches | /engels-cv-template | /tools/zoekjaar-checker","Support UM career services with Dutch-market CV resources and expat route tools for international students.","careerservices@maastrichtuniversity.nl",todo
P1,Tier 1,university,Tilburg University - Online Masterclass CV and Cover Letter,https://www.tilburguniversity.edu/students/career/your-career-path/cv-cover-letter,en,"/gratis-cv-template | /engels-cv-template | /for-coaches","Offer a post-masterclass resource stack for CV building and Dutch-market adaptation.","https://www.tilburguniversity.edu/students/career/your-career-path/consultation",todo
P1,Tier 1,university,Tilburg University - Consultation hour for job application,https://www.tilburguniversity.edu/students/career/your-career-path/consultation,en,"/cv-gids | /cv-voorbeelden | /for-coaches","Pitch WerkCV as a self-serve follow-up after CV and LinkedIn consultation hours.","https://www.tilburguniversity.edu/students/career/your-career-path/consultation",todo
P1,Tier 1,municipality,Den Haag - Hulp en tips bij solliciteren,https://www.denhaag.nl/nl/werk-bijstand-en-uitkering/hulp-bij-solliciteren/,nl,"/cv-maken | /gratis-cv-template | /tools/netto-bruto-calculator","Resource-page inclusion for residents who need CV help beyond in-person support capacity.","sollicitatiecentrum@denhaag.nl",todo
P1,Tier 1,municipality,Den Haag - Vind een baan met hulp van de gemeente,https://www.denhaag.nl/nl/werk-bijstand-en-uitkering/vind-een-baan/,nl,"/cv-maken | /tools/transitievergoeding-berekenen | /tools/ww-recht-checker","Position WorkCV tools as practical self-service support alongside municipal job guidance.","sollicitatiecentrum@denhaag.nl",todo
P1,Tier 1,municipality,Rotterdam - Vacatures bijstand,https://www.rotterdam.nl/vacatures-bijstand,nl,"/cv-maken | /gratis-cv-template | /tools/netto-bruto-calculator","Offer a Dutch CV and salary-tool resource that complements the city's work and re-integration guidance.","https://www.rotterdam.nl/contact",todo
P1,Tier 1,library,Taalhuis Achterhoek - Cursus Taal en Werk,https://taal.bibliotheek.nl/product/16199833.cursus-taal-en-werk.html,nl,"/cv-maken | /cv-gids | /gratis-cv-template","Suggest WerkCV as a practical digital follow-up for learners practicing CV and job-search basics.","info@taalhuisachterhoek.nl",todo
P1,Tier 1,library,Bibliotheek Nieuwegein - Taalbrigade@work,https://taal.bibliotheek.nl/product/808374.taalbrigade%40work.html,nl,"/cv-maken | /gratis-cv-template | /tools/netto-bruto-calculator","Useful for language learners who need simple Dutch CV support and job-search tools.","g.vandenberg@bibliotheeknieuwegein.nl",todo
P1,Tier 1,job-club,JobOn,https://jobon.nl/,nl,"/cv-maken | /for-coaches | /tools/netto-bruto-calculator","Pitch a webinar, training resource, or partner-tool inclusion for job seekers and event attendees.","info@jobon.nl",todo
P1,Tier 1,coach-network,Noloc - Werken aan werk,https://www.noloc.nl/werkenaanwerk,nl,"/for-coaches | /partners","Coach-network partnership angle: practical CV and work-in-NL resources for Noloc professionals to share with clients.","info@noloc.nl",todo
