Rank,Company,Segment,PrimaryContact,Email,WhyQualified,RecommendedAngle,SourceURL
1,Bridgewell,"executive search / interim boutique",General client route,info@bridgewell.nl,"Executive search and interim boutique with public client contact route and managing-partner-led workflow.","van bron-CV naar rustig client-ready leadership profiel",https://www.bridgewell.nl/en/contact/
2,&deBlauw,executive search boutique,Iwan Jurczik,iwan@endeblauw.com,"Boutique executive search with partner-led feel in private equity and family-business searches.","consistente shortlist-output voor partner-led searches",https://endeblauw.com/en/executive-search/
3,Apollo Executive Search,"executive search for founders and investors",General partner route,info@apolloexecutivesearch.com,"Current client contact page routes prospects to partners; high-value founder and investor searches imply high-stakes profile presentation.","van intake naar investor-ready kandidaatprofiel zonder Word-frictie",https://apolloexecutivesearch.com/contact/
4,e-search,boutique executive search,Ernst Monkhorst,ernst@e-search.nl,"Direct founder contact, explicit boutique positioning, and active PE / VC / family-business leadership search.","vervang terugkerende CV-opschoning in partner-led searchwerk",https://www.e-search.nl/
5,Search & Change,"finance executive search / interim CFO",Geert-Jan Joosten,gj@searchandchange.nl,"Narrow finance niche with high shortlist expectations and public partner contact.","strakke CFO- en finance-profielen richting opdrachtgevers",https://searchandchange.nl/partners/
6,Herman Rutgers Executive & Interim Search,executive and interim search boutique,General route,info@hermanrutgers.nl,"High-touch executive and interim boutique with direct public contact route and likely manual candidate-profile delivery.","rustige kandidaatpresentatie voor high-touch executive en interim dossiers",https://hermanrutgers.nl/en/
7,Cooster Executive Search,"executive search for MKB / private equity",General route,info@coosterexecutive.nl,"Explicit shortlist/search process and MKB / private-equity positioning make candidate presentation pain plausible.","shortlist- en kandidaatpresentatie standaardiseren richting MKB en PE",https://www.coosterexecutive.nl/
8,Alice Pley Search,"executive search and interim management in marketing / communications",Alice Pley,info@alicepleysearch.nl,"Founder-led niche firm with direct phone and email route and senior-profile delivery context.","consistente board- en senior-profielen richting opdrachtgevers",https://www.alicepleysearch.nl/en/contact/
9,Lumen Search,"executive search in high-tech / manufacturing",General route,info@lumen-search.com,"Niche search firm with public contact route; technical source CVs are often content-heavy and manually cleaned for clients.","high-tech kandidaatprofielen sneller rustig en consistent opleveren",https://lumen-search.com/en/executive-search/
10,DUX,"executive search in non-profit / culture",General route,info@dux.nl,"Still a real fit, but slightly more institutional than the leads above; kept because search workflows and candidate-document quality are still relevant.","consistente kandidaatdocumenten voor search in non-profit en cultuur",https://dux.nl/en/
