"Keyword","Trends","Impressions"
"bereken transitievergoeding 2026","[24,22,20,33,30,23,21,21]","194"
"ontslag.nl transitievergoeding 2026","[24,21,24,26,30,22,30,28,50,26,22,34]","337"
"berekenen transitievergoeding 2026","[20,49,36,26,37,35,30,39,36,29,32,23,31]","423"
"berekening transitievergoeding 2026","[49,55,43,50,47,46,59,62,62,59,58,49,45]","684"
"berekenen transitievergoeding","[60,71,59,55,39,55,54,60,62,56,47,49,52]","719"
"berekening transitievergoeding","[72,78,48,62,34,80,49,50,64,73,41,44,70]","765"
"ontslagvergoeding berekenen","[88,78,86,56,65,61,58,75,59,82,72,56,61]","897"
"transitievergoeding 2026","[138,146,134,158,85,103,101,166,133,139,125,115,140]","1683"
"transitievergoeding","[211,226,205,194,186,215,227,210,239,243,204,171,237]","2768"
"transitievergoeding berekenen","[598,608,543,648,488,550,535,612,577,530,575,391,577]","7232"
