Rank,Company,Segment,PrimaryContact,Email,Phone,Website,ContactURL,WhyQualified,RecommendedAngle,OfferType,Notes
1,Care4Careers,"outplacement / loopbaanadvies / re-integratie",General contact,info@care4careers.nl,"085 115 5991",https://www.care4careers.nl,https://www.care4careers.nl/outplacement,"Strong fit: they explicitly support outplacement, loopbaancoaching and re-integratie, mention CV/personal branding/sollicitatievaardigheden, and show national coverage plus employer clients.","Position WerkCV as a branded client workspace for outplacement candidates: coach invites client, client builds CV, coach reviews, final PDF stays consistent with Care4Careers quality.","White-label or agency plan","Best enterprise-style prospect in this batch; likely needs privacy/GDPR and multi-coach controls."
2,MEPD,"outplacement / ontwikkeling / re-integratie",General contact,info@mepd.nl,"074 - 255 66 66",https://www.mepd.nl,https://www.mepd.nl/contact/,"Strong fit: 25+ years, multiple regions, outplacement plus development and re-integratie, works with employers and supports practical CV/sollicitation preparation.","Pitch as a low-friction CV toolkit for technical/manufacturing outplacement candidates, with templates and Dutch-market CV guidance under their coach workflow.","Agency plan first, white-label later","Good sector angle: maakindustrie/techniek candidates need structured, ATS-readable CVs."
3,RondomWerk,"re-integratie / outplacement / loopbaanbegeleiding",General contact,info@rondomwerk.nl,"085 - 040 25 99",https://www.rondomwerk.nl,https://www.rondomwerk.nl/outplacementbureau/,"Strong fit: Blik op Werk re-integratie/outplacement bureau, modular begeleiding, loopbaancoach involvement, explicit CV work and job-search support.","Offer WerkCV as the digital CV module inside their modular outplacement traject: faster CV intake, consistent output, less Word/email back-and-forth.","Agency plan","Very practical/nuchter tone; outreach should be direct and operational, not SaaS-heavy."
4,Werkcontact,"outplacement / spoor 2 / jobcoaching / loopbaanadvies",General contact,info form only,"088-033 08 80 / 06-147 594 12",https://werkcontact.nl,https://werkcontact.nl/pagina.19.name.info-form.htm/,"Strong fit: small long-running outplacement/re-integratie bureau with many locations, OVAL affiliation, hidden-vacancy/job-search positioning, and employer candidate intake.","Pitch as a branded CV and sollicitatie-prep add-on for outplacement/spoor-2 candidates, especially to reduce manual document cleanup across many locations.","White-label or agency plan","Use contact form or call; public page did not expose a direct email on the contact form page."
5,Wende Werkt,"outplacement / re-integratie / loopbaanbegeleiding",General contact,info@wende.nl,"0118-616121",https://wende.nl,https://wende.nl/outplacement/,"Strong regional fit: outplacementbureau with 20 years in Zeeland, employer network, loopbaanbegeleiding, sollicitatie help and jobcoaching listed.","Angle around giving Zeeland/regional candidates a modern CV builder while Wende coaches keep control over quality and candidate readiness.","Agency plan","Regional bureau; likely better with a practical pilot for a few candidates instead of broad white-label pitch."
6,Carriere Switch,"outplacement / loopbaanreflectie / coaching",General contact,info@carriereswitch.nl,"088-0018500",https://carriereswitch.nl,https://carriereswitch.nl/outplacement/,"Good fit: outplacement and coaching bureau with P&O route, high placement claim, and structured phases around personal value and labor-market approach.","Pitch as a professional CV/profile-output layer after loopbaanreflectie: turn coach insights into a polished CV candidates can use immediately.","Agency plan","Brand writes Carriere Switch with an accented first word on-site; domain uses carriereswitch.nl."
7,Vitae Company,"outplacement / re-integratie / loopbaanadvies / training",General contact,info@vitaecompany.nl,"06 51 16 84 82",https://www.vitaecompany.nl,https://www.vitaecompany.nl/,"Good fit: small specialist with outplacement, re-integratie and loopbaanadvies positioning; founder-led/coaching-led style suggests manual CV support may be part of delivery.","Pitch as a coach-friendly CV workspace that keeps personal guidance central while removing formatting and PDF work from the coach.","Agency plan","Likely a relationship-led sale; keep first email personal and ask about their current CV workflow."
8,50+ Carriere,"outplacement / loopbaanbegeleiding for experienced workers",General contact,lepoole@50pluscarriere.nl,"06 57995730",https://www.50pluscarriere.nl,https://www.50pluscarriere.nl/contact,"Good niche fit: focused on experienced/50+ workers and outplacement/loopbaanbegeleiding; candidates often need confidence and modern CV positioning.","Pitch WerkCV as a simple, no-subscription CV tool for experienced candidates who need a modern, recruiter-readable CV without design complexity.","Agency plan","Small/niche bureau; offer a lightweight candidate pilot rather than white-label first."
9,CareerSolution / Outplacementbureau.org,"outplacement for higher educated candidates",General contact,info@careersolution.nl,"085-8885-143",https://www.outplacementbureau.org,https://www.outplacementbureau.org/,"Good fit: outplacement for higher educated candidates, 14 locations, custom trajects and explicit modern tools criterion on page.","Pitch as a modern CV builder/coach review layer for higher-educated outplacement candidates, with professional templates and Dutch-market PDF output.","White-label or agency plan","Likely same organization as CareerSolution; verify main careersolution.nl before sending."
10,LeerWerkburo,"employer outplacement / begeleiding naar werk",General contact,info@leerwerkburo.nl,,https://www.leerwerkburo.nl,https://www.leerwerkburo.nl/werkgevers/onze-programma-s-voor-u/outplacement,"Eligible but lower evidence from search snippet: employer-facing outplacement with weekly coaching and begeleiding naar nieuwe werkkring.","Pitch as a small digital CV module inside weekly outplacement coaching, focused on making candidates application-ready faster.","Agency plan","Need one more manual check before sending because contact detail was taken from indexed snippet."
11,Amplooi,"outplacement / re-integratie / mobiliteitsprogramma",General contact,info@amplooi.nl,"088 - 022 38 88",https://amplooi.nl,https://amplooi.nl/contact/,"Strong fit: national re-integratie and outplacement provider with 44+ mobiliteitsexperts, a klantportaal, and an outplacement module that includes leren solliciteren and arbeidsmarkt benaderen.","Pitch WerkCV as a practical CV workspace inside their mobiliteitsprogramma so mobiliteitsexperts spend less time on Word formatting and more on direction, confidence and job search.","White-label or agency plan","Good replacement for Werkcontact in email batch because it has a direct public email and explicit platform/portal language."
