account_name,segment,city,website,contact_name,contact_role,contact_email,contact_phone,source_url,status,fit_note,priority
"Bridgewell","executive search / interim boutique","Amsterdam","https://www.bridgewell.nl/en/","","Office contact","info@bridgewell.nl","+31 (0)20 4421128","https://www.bridgewell.nl/en/","new","Dutch executive search and interim boutique; strong fit for client-ready candidate documents with polished output.","high"
"Glasford International Netherlands","boutique executive search","Amsterdam","https://glasford.com/global-offices/the-netherlands/","Miguel Swaen","Contact person","m.swaen@glasford.com","+31 (0)20 65 99 666","https://glasford.com/global-offices/the-netherlands/","new","Boutique executive search positioning in the Dutch market with named contacts and direct email.","high"
"HPW Executive Search","executive search boutique","Amsterdam / The Hague","https://www.hpwexecutivesearch.com/en/contact/","","Office contact","info@hpwexecutivesearch.com","+31 (0)20 520 7599","https://www.hpwexecutivesearch.com/en/contact/","new","Executive search firm with Amsterdam office and public office inbox; suitable for discreet founder-led outreach.","medium"
"Frans Executive Search","executive search boutique","Amsterdam","https://www.frans-international.com/","","Office contact","info@frans-international.com","+31 6 46014779","https://www.frans-international.com/","new","Small executive search firm focused on legal, tech and board roles; personal approach makes it a strong boutique target.","high"
"Larsen Executive Search","executive search boutique","Amsterdam","https://www.larsen.nl/en/home-en/","","Office contact","info@larsen.nl","+31 20 244 0680","https://www.larsen.nl/en/home-en/","new","Senior-management executive search in the Netherlands with public contact info and emphasis on discretion.","medium"
"CSA Amsterdam","SaaS executive search / GTM recruitment","Schiphol-Amsterdam","https://csa-amsterdam.nl/","","Office contact","ams@continental-search.com","+31 20 799 1500","https://csa-amsterdam.nl/","new","Specialist search partner for SaaS and B2B software companies; useful for the English/international candidate angle.","medium"
"T2 IT Detachering","IT detacheringsbureau","Amstelveen","https://t2.nl/contact/","","Recruitment contact","recruitment@t2.nl","020 345 23 28","https://t2.nl/contact/","new","Clear IT detachering fit and public recruitment inbox; good target for source-CV to client-ready workflow testing.","high"
"Interim Recruiters","interim professionals / boutique recruitment","Schiphol-Rijk / Zoetermeer","https://interimrecruiters.nl/en/contact/","","Office contact","welcome@interimrecruiters.nl","+31 (0)20 26 22 447","https://interimrecruiters.nl/en/contact/","new","Boutique positioning around interim professionals mediation; useful for recruiter-heavy candidate presentation workflow.","medium"
"Top of Minds Interim Solutions","interim solutions / executive search","Amsterdam","https://topofminds.com/en/interim/","Ian Dove","Managing Director","iandove@topofminds.com","020 7600 777","https://topofminds.com/en/interim/","new","Strong interim and executive search signal with named interim leader; relevant for high-quality candidate profile presentation.","medium"
"Search & Co Group","interim professionals / recruitment","Amsterdam","https://searchco.nl/en/interim-professionals","Jim","Contact person","info@searchco.nl","+31 20 521 8700","https://searchco.nl/en/interim-professionals","new","Amsterdam agency handling interim professionals; snippet highlights direct client contact and info inbox.","medium"
"NextJob Outplacement","outplacementbureau","Amsterdam / Soest","https://www.nextjob.nl/werkgever/kosten-outplacement-traject.html","Jordy Schimmel","Appointment contact","info@nextjob.nl","088 205 08 88","https://www.nextjob.nl/werkgever/kosten-outplacement-traject.html","new","Employer-facing outplacement provider with explicit employer offer; good fit for candidate-document workflows tied to transitions.","high"
"GORToutplacement","outplacementbureau","Amsterdam","https://gortoutplacement.nl/outplacement/","Carolien van der Vleuten","Adviseur outplacement","carolienvandervleuten@gortcoaching.nl","088 170 1566","https://gortoutplacement.nl/outplacement/","new","Large outplacement provider with named advisor for organisational use cases; relevant if you want employer-side transition workflows.","medium"
"Dynamisch Bureau","outplacement / loopbaan / re-integratie","Den Haag","https://www.dynamischbureau.nl/","","Office contact","info@dynamischbureau.nl","085 27 35 722","https://www.dynamischbureau.nl/","new","Employer-facing outplacement and career-transition bureau; broad support model but still useful for pilot outreach.","medium"
"Ceres Recruitment","recruitment / interim solutions specialist","Meppel / Naaldwijk","https://www.ceresrecruitment.nl/en/contact","Jan Borgers","Managing Partner","jan.borgers@ceresrecruitment.nl","+31 (0)6 22 412 514","https://www.ceresrecruitment.nl/en/contact","new","Sector specialist with executive and interim work; direct managing-partner contact makes it suitable for founder outreach.","medium"
"Stätter Recruitment","interim management / recruitment","Amsterdam","https://statterrecruitment.com/en/contact/","","Office contact","info@statterrecruitment.com","+31 (0)20 716 27 47","https://statterrecruitment.com/en/contact/","new","Amsterdam recruitment firm with interim-management angle and public office contact info.","medium"
