keyword,source,cluster,fit,decision,current_coverage,page_type,page_idea,priority,notes
cv maken,bing,core-builder,strong,keep_existing,/cv-maken,refresh,Keep strengthening the core CV builder hub,high,Main commercial head term
cv maker,bing,core-builder,strong,new_or_reposition,/beste-cv-maker-nederland,landing,Build or retarget an exact-match cv maker landing for Dutch intent,high,Strongest obvious commercial gap
cv maken gratis,bing,free-entry,strong,keep_existing,/gratis-cv-maken,refresh,Keep defending the free-start route with transparent pricing,high,High fit if payment timing stays clear
gratis cv maken,bing,free-entry,strong,keep_existing,/gratis-cv-maken,refresh,Same free-start cluster as cv maken gratis,high,Good acquisition term
curriculum vitae,bing,formal-builder,strong,keep_existing,/curriculum-vitae-maken,refresh,Defend the formal Dutch CV cluster,medium,Good for broader formal intent
cv template,bing,template-intent,strong,keep_existing,/cv-maken-template,refresh,Defend the main template-selection page,high,High conversion fit
cv voorbeeld,bing,example-intent,strong,keep_existing,/cv-voorbeeld,refresh,Defend the examples hub,high,Strong commercial-informational mix
voorbeeld cv,bing,example-intent,strong,keep_existing,/cv-voorbeelden,refresh,Support the examples cluster with internal links,medium,Same intent family
cv format,bing+gemini,format-intent,strong,new,/cv-opmaak-voorbeeld,landing,Build an exact-match Dutch cv format page linked into templates and examples,high,Clearest Dutch content gap
cv opstellen,bing,build-guidance,strong,keep_existing,/cv-opstellen,refresh,Keep as a how-to builder page,medium,Good supporting guide term
hoe maak je een cv,bing,build-guidance,strong,keep_existing,/cv-maken,refresh,Expand FAQs and direct answer blocks on the main builder page,medium,High-fit informational term
cv maken online,bing,core-builder,strong,keep_existing,/online-cv-maken,refresh,Keep as a strong mid-funnel builder route,medium,Good search intent match
transitievergoeding berekenen,bing,calculator,strong,keep_existing,/tools/transitievergoeding-berekenen,refresh,Defend the current tool with richer synonyms and FAQ coverage,high,Top calculator keyword
transitievergoeding,bing,calculator,strong,keep_existing,/tools/transitievergoeding-berekenen,refresh,Strengthen broad head-term relevance on the tool page,high,Same core tool cluster
transitievergoeding 2026,bing,calculator,strong,keep_existing,/tools/transitievergoeding-berekenen,refresh,Keep year-sensitive headings and examples current,high,Strong annual variant
ontslagvergoeding berekenen,bing,calculator,strong,expand_existing,/tools/transitievergoeding-berekenen,refresh,Add this synonym to H1/H2/meta/FAQ and possibly a canonical alias page,high,Biggest synonym gap in the tool cluster
gratis cv check,gemini,cv-analysis,strong,new_or_retarget,/tools/cv-score,landing,Create a dedicated free CV check landing that funnels into the CV score tool,high,Very sale-adjacent problem-solution term
cv check,gemini,cv-analysis,strong,expand_existing,/tools/cv-score,refresh,Retarget existing CV score copy and metadata toward plain-language cv check intent,high,Broad but highly relevant
cv beoordeling,gemini,cv-analysis,strong,expand_existing,/tools/cv-score,refresh,Add exact Dutch phrasing to CV score page sections and FAQ,high,Natural fit for the quality score tool
cv score berekenen,gemini,cv-analysis,strong,expand_existing,/tools/cv-score,refresh,Use exact-match wording on the CV score page,high,Strong tool-intent keyword
cv checken op fouten,gemini,cv-analysis,strong,new_support,/tools/cv-score,article_or_section,Add a section or support page focused on common Dutch CV mistakes,medium,Good support keyword for CV score
ats vriendelijk cv,gemini,ats,strong,keep_existing,/ats-cv-template,refresh,Keep defending ATS-friendly template intent,medium,Already well aligned
cv scanner online,gemini,ats,strong,expand_existing,/tools/ats-cv-checker,refresh,Retarget ATS checker toward scanner language used by non-technical searchers,high,Good fit for the ATS upload flow
