Rank,Company,ContactName,Email,Subject,Body
1,Care4Careers,,info@care4careers.nl,"Vraag over jullie CV-begeleiding","Hallo,

Ik kwam Care4Careers tegen en vond vooral jullie insteek interessant: outplacement en loopbaanbegeleiding niet alleen als advies, maar als praktische begeleiding naar een volgende stap.

Ik ben aan het uitzoeken hoe loopbaanprofessionals het praktische CV-stuk aanpakken. Blijft het meestal bij feedback en coaching, of zetten jullie soms ook zelf bronmateriaal om naar een nieuw, net CV?

Ik vraag dit omdat ik bij WerkCV zie dat veel mensen niet vastlopen op motivatie, maar op structuur, de eerste halve pagina en het eindeloze Word-werk.

Geen verkooppitch; ik probeer eerst te begrijpen of dit voor professionals zoals jullie echt terugkerend werk is.

Mag ik kort vragen hoe jullie dit nu aanpakken?

Als dit niet relevant is, laat het gerust weten; dan laat ik het hierbij.

Groet,
Dhinesh
WerkCV.nl"
2,MEPD,,info@mepd.nl,"Vraag over jullie CV-begeleiding","Hallo,

Ik kwam MEPD tegen en vond vooral jullie insteek interessant: mensen in werk en ontwikkeling begeleiden met veel aandacht voor de praktijk, zeker rond outplacement en re-integratie.

Ik ben aan het uitzoeken hoe loopbaanprofessionals het praktische CV-stuk aanpakken. Blijft het meestal bij feedback en coaching, of zetten jullie soms ook zelf bronmateriaal om naar een nieuw, net CV?

Ik vraag dit omdat ik bij WerkCV zie dat veel mensen niet vastlopen op motivatie, maar op structuur, de eerste halve pagina en het eindeloze Word-werk.

Geen verkooppitch; ik probeer eerst te begrijpen of dit voor professionals zoals jullie echt terugkerend werk is.

Mag ik kort vragen hoe jullie dit nu aanpakken?

Als dit niet relevant is, laat het gerust weten; dan laat ik het hierbij.

Groet,
Dhinesh
WerkCV.nl"
3,RondomWerk,,info@rondomwerk.nl,"Vraag over jullie CV-begeleiding","Hallo,

Ik kwam RondomWerk tegen en vond vooral jullie praktische insteek interessant: mensen stap voor stap begeleiden naar werk dat weer past.

Ik ben aan het uitzoeken hoe loopbaanprofessionals het praktische CV-stuk aanpakken. Blijft het meestal bij feedback en coaching, of zetten jullie soms ook zelf bronmateriaal om naar een nieuw, net CV?

Ik vraag dit omdat ik bij WerkCV zie dat veel mensen niet vastlopen op motivatie, maar op structuur, de eerste halve pagina en het eindeloze Word-werk.

Geen verkooppitch; ik probeer eerst te begrijpen of dit voor professionals zoals jullie echt terugkerend werk is.

Mag ik kort vragen hoe jullie dit nu aanpakken?

Als dit niet relevant is, laat het gerust weten; dan laat ik het hierbij.

Groet,
Dhinesh
WerkCV.nl"
5,Wende Werkt,,info@wende.nl,"Vraag over jullie CV-begeleiding","Hallo,

Ik kwam Wende Werkt tegen en vond vooral jullie regionale en persoonlijke aanpak interessant: niet alleen begeleiden, maar mensen concreet helpen richting een nieuwe baan.

Ik ben aan het uitzoeken hoe loopbaanprofessionals het praktische CV-stuk aanpakken. Blijft het meestal bij feedback en coaching, of zetten jullie soms ook zelf bronmateriaal om naar een nieuw, net CV?

Ik vraag dit omdat ik bij WerkCV zie dat veel mensen niet vastlopen op motivatie, maar op structuur, de eerste halve pagina en het eindeloze Word-werk.

Geen verkooppitch; ik probeer eerst te begrijpen of dit voor professionals zoals jullie echt terugkerend werk is.

Mag ik kort vragen hoe jullie dit nu aanpakken?

Als dit niet relevant is, laat het gerust weten; dan laat ik het hierbij.

Groet,
Dhinesh
WerkCV.nl"
6,Carriere Switch,,info@carriereswitch.nl,"Vraag over jullie CV-begeleiding","Hallo,

Ik kwam Carriere Switch tegen en vond vooral jullie fasering interessant: van reflectie naar persoonlijke toegevoegde waarde en daarna de arbeidsmarkt op.

Ik ben aan het uitzoeken hoe loopbaanprofessionals het praktische CV-stuk aanpakken. Blijft het meestal bij feedback en coaching, of zetten jullie soms ook zelf bronmateriaal om naar een nieuw, net CV?

Ik vraag dit omdat ik bij WerkCV zie dat veel mensen niet vastlopen op motivatie, maar op structuur, de eerste halve pagina en het eindeloze Word-werk.

Geen verkooppitch; ik probeer eerst te begrijpen of dit voor professionals zoals jullie echt terugkerend werk is.

Mag ik kort vragen hoe jullie dit nu aanpakken?

Als dit niet relevant is, laat het gerust weten; dan laat ik het hierbij.

Groet,
Dhinesh
WerkCV.nl"
7,Vitae Company,,info@vitaecompany.nl,"Vraag over jullie CV-begeleiding","Hallo,

Ik kwam Vitae Company tegen en vond vooral jullie insteek interessant: mensen niet alleen coachen, maar ook helpen om hun volgende stap helder te maken.

Ik ben aan het uitzoeken hoe loopbaanprofessionals het praktische CV-stuk aanpakken. Blijft het meestal bij feedback en coaching, of zetten jullie soms ook zelf bronmateriaal om naar een nieuw, net CV?

Ik vraag dit omdat ik bij WerkCV zie dat veel mensen niet vastlopen op motivatie, maar op structuur, de eerste halve pagina en het eindeloze Word-werk.

Geen verkooppitch; ik probeer eerst te begrijpen of dit voor professionals zoals jullie echt terugkerend werk is.

Mag ik kort vragen hoe jullie dit nu aanpakken?

Als dit niet relevant is, laat het gerust weten; dan laat ik het hierbij.

Groet,
Dhinesh
WerkCV.nl"
8,50+ Carriere,,lepoole@50pluscarriere.nl,"Vraag over jullie CV-begeleiding","Hallo,

Ik kwam 50+ Carriere tegen en vond vooral jullie focus op ervaren werknemers interessant. Juist bij 50+ kandidaten lijkt het CV-verhaal vaak niet alleen om layout te gaan, maar om ervaring helder en eigentijds neerzetten.

Ik ben aan het uitzoeken hoe loopbaanprofessionals het praktische CV-stuk aanpakken. Blijft het meestal bij feedback en coaching, of zetten jullie soms ook zelf bronmateriaal om naar een nieuw, net CV?

Ik vraag dit omdat ik bij WerkCV zie dat veel mensen niet vastlopen op motivatie, maar op structuur, de eerste halve pagina en het eindeloze Word-werk.

Geen verkooppitch; ik probeer eerst te begrijpen of dit voor professionals zoals jullie echt terugkerend werk is.

Mag ik kort vragen hoe jullie dit nu aanpakken?

Als dit niet relevant is, laat het gerust weten; dan laat ik het hierbij.

Groet,
Dhinesh
WerkCV.nl"
9,CareerSolution, ,info@careersolution.nl,"Vraag over jullie CV-begeleiding","Hallo,

Ik kwam CareerSolution tegen en vond vooral jullie focus op hoger opgeleiden interessant. Bij die doelgroep lijkt het CV vaak minder een standaarddocument en meer een helder professioneel verhaal te moeten worden.

Ik ben aan het uitzoeken hoe loopbaanprofessionals het praktische CV-stuk aanpakken. Blijft het meestal bij feedback en coaching, of zetten jullie soms ook zelf bronmateriaal om naar een nieuw, net CV?

Ik vraag dit omdat ik bij WerkCV zie dat veel mensen niet vastlopen op motivatie, maar op structuur, de eerste halve pagina en het eindeloze Word-werk.

Geen verkooppitch; ik probeer eerst te begrijpen of dit voor professionals zoals jullie echt terugkerend werk is.

Mag ik kort vragen hoe jullie dit nu aanpakken?

Als dit niet relevant is, laat het gerust weten; dan laat ik het hierbij.

Groet,
Dhinesh
WerkCV.nl"
10,LeerWerkburo,,info@leerwerkburo.nl,"Vraag over jullie CV-begeleiding","Hallo,

Ik kwam LeerWerkburo tegen en vond vooral jullie begeleiding naar een nieuwe werkkring interessant: praktisch, stap voor stap, met aandacht voor sollicitatie en werkhervatting.

Ik ben aan het uitzoeken hoe loopbaanprofessionals het praktische CV-stuk aanpakken. Blijft het meestal bij feedback en coaching, of zetten jullie soms ook zelf bronmateriaal om naar een nieuw, net CV?

Ik vraag dit omdat ik bij WerkCV zie dat veel mensen niet vastlopen op motivatie, maar op structuur, de eerste halve pagina en het eindeloze Word-werk.

Geen verkooppitch; ik probeer eerst te begrijpen of dit voor professionals zoals jullie echt terugkerend werk is.

Mag ik kort vragen hoe jullie dit nu aanpakken?

Als dit niet relevant is, laat het gerust weten; dan laat ik het hierbij.

Groet,
Dhinesh
WerkCV.nl"
11,Amplooi,,info@amplooi.nl,"Vraag over jullie CV-begeleiding","Hallo,

Ik kwam Amplooi tegen en vond vooral jullie mobiliteitsprogramma interessant: van koers bepalen naar leren solliciteren en actief de arbeidsmarkt benaderen.

Ik ben aan het uitzoeken hoe loopbaanprofessionals het praktische CV-stuk aanpakken. Blijft het meestal bij feedback en coaching, of zetten jullie soms ook zelf bronmateriaal om naar een nieuw, net CV?

Ik vraag dit omdat ik bij WerkCV zie dat veel mensen niet vastlopen op motivatie, maar op structuur, de eerste halve pagina en het eindeloze Word-werk.

Geen verkooppitch; ik probeer eerst te begrijpen of dit voor professionals zoals jullie echt terugkerend werk is.

Mag ik kort vragen hoe jullie dit nu aanpakken?

Als dit niet relevant is, laat het gerust weten; dan laat ik het hierbij.

Groet,
Dhinesh
WerkCV.nl"
