rank,priority_tier,source_platform,lead_name,contact_name,email,phone,website,contact_url,city_or_region,fit_score,outreach_status,qualification_signal,business_angle,notes
1,A,Google/direct website,MooiCV,Pim / team,info@mooicv.nl,073-2110527,https://mooicv.nl,https://mooicv.nl/contact/,Rosmalen,10,new,"Explicit CV herschrijven, CV optimaliseren, sollicitatiebrief, LinkedIn and B2B CV verbeterdiensten for loopbaancoaches","Ask how they handle volume and whether a low-cost editor could reduce manual Word/layout work for candidate CVs","Strongest fit but likely closer to competitor/agency than solo operator"
2,A,Google/direct website,UniekCV,,info@uniekcv.nl,06-40718980,https://uniekcv.nl,https://uniekcv.nl/,Netherlands,10,new,"Sells op maat gemaakt CV and CV plus motivatiebrief packages, with writing option and delivery by email","Ask how they handle intake-to-document production and whether they ever need faster first drafts for customer CVs","Clear paid CV service; good target for white-label tooling discussion"
3,A,Google/direct website,Quality Resume Services,Rob van Zoelen,rob@qualityresumeservices.com,+31-6-50979475,https://qualityresumeservices.nl,https://qualityresumeservices.nl/,Amsterdam / Netherlands,10,new,"Professional CV writer; offers CV rewriting, LinkedIn profile makeover and motivation letter template writing","Ask whether repetitive formatting/ATS versions are a bottleneck in premium CV projects","Uses obfuscated email on site; normalized from rob AT qualityresumeservices.com"
4,A,Google/direct website,Proresume / The CV Doctor,Sean,,,"https://proresume.nl",https://proresume.nl/about-me/,Amsterdam / Netherlands,9,new,"Describes himself as experienced copywriter and CV writer; unique CV, motivation letter and LinkedIn profile per customer","Ask how expat/Dutch CV formats are handled and whether a bilingual white-label editor would help","Contact form rather than visible email"
5,A,Google/direct website,Stralend Solliciteren,,,"06-47438167",https://stralendsolliciteren.nl,https://stralendsolliciteren.nl/,Netherlands,9,new,"Offers op maat gemaakte sollicitatiebrief, CV and LinkedIn profile optimization; testimonials mention rewritten CVs","Ask how they turn customer input into final CV/brief and whether document production is recurring manual work","Contact via site form/WhatsApp"
6,A,Google/direct website,CV Architect,,,"",https://www.cvarchitect.nl,https://www.cvarchitect.nl/executive-coaching,Netherlands,9,new,"Offers CV rewriting, ATS CV optimization and profile analysis packages","Ask whether ATS-optimized CV drafts need repeated manual revisions and if tooling can support premium clients","Contact form; executive/premium positioning"
7,A,Google/direct website,Sollicitatiedokter,Xandra Drost / Gaby Walraven,g.walraven@employou.nl; xandra.drost@xpertiseinwerk.nl,,https://sollicitatiedokter.nl,https://sollicitatiedokter.nl/coaching-2/,Netherlands,9,new,"Lists paid services: CV laten maken, CV feedback, sollicitatiebrief laten schrijven and LinkedIn profile","Ask how specialists manage incoming CV requests and whether a shared editor would shorten turnaround","Two named specialist emails visible"
8,A,Google/direct website,Blik op cv.nl,Sophie de Haan,blikopcv.nl@gmail.com,06-45718186,https://smdehaan.wixsite.com/blikopcv,https://smdehaan.wixsite.com/blikopcv/werkgevers,Delft,9,new,"Explicit CV laten maken, CV laten schrijven, CV/sollicitatiebrief, LinkedIn profile and workshops","Ask about practical CV production for clients and whether she needs a cleaner way to deliver editable Dutch CVs","Small operator, strong niche fit"
9,A,Marktplaats,Michelle / sollicitatiehulp,Michelle,mvdb.sollicitatiehulp@hotmail.com,,https://www.marktplaats.nl,https://www.marktplaats.nl/v/diensten-en-vakmensen/vertalers-tolken-en-tekstschrijvers/m2242020709-binnen-24-u-een-professionele-sollicitatiebrief-cv-op-maat,Veghel,9,new,"Listing offers professional sollicitatiebrief and CV op maat within 24 hours","Ask how she currently produces CVs and whether a faster template/editor flow would help with short turnaround jobs","Direct email in listing"
10,A,Marktplaats,Anna Venlo / Professioneel CV en motivatiebrief,Anna,,,"https://www.marktplaats.nl",https://www.marktplaats.nl/q/cv%2Bschrijven/,Venlo,8,new,"Listing says she writes or rewrites CV and motivation letter, delivered in Word/PDF","Ask whether Word/PDF delivery and revisions are the most time-consuming part","Use Marktplaats message; listing visible in cv schrijven results"
11,B,Marktplaats,Roos / professionele CV hulp,Roos,,,"https://www.marktplaats.nl",https://www.marktplaats.nl/v/diversen/sinterklaas/m2340141545-professionele-hulp-bij-uw-cv-motivatiebrief-sollicitatie,Venlo,8,new,"Listing offers new CV, rewriting, professional layout, motivation letter and English CV","Ask how often clients need a full new CV versus only rewrite/layout help","Direct Marktplaats message; odd category but service is explicit"
12,B,Marktplaats,meulenhof / CV & Motivatiebrief laten maken,meulenhof,,,"https://www.marktplaats.nl",https://www.marktplaats.nl/v/boeken/studieboeken-en-cursussen/m2286094430-cv-motivatiebrief-laten-maken-snel-betaalbaar,Netherlands,8,new,"Listing offers CV or motivation letter for fixed low price, PDF and Word delivery, possible 6-hour rush","Ask whether low-price volume makes template generation useful","Direct Marktplaats message"
13,B,Marktplaats,loortje / professionele CV + motivatiebrief binnen 1 uur,loortje,,0640064579,https://www.marktplaats.nl,https://www.marktplaats.nl/q/cv%2Bschrijven/,'s-Gravenhage,8,new,"Listing offers professional CV and motivation letter within 1 hour with phone number","Ask if ultra-fast CV production is manual and whether tooling can reduce turnaround time","Use phone/Marktplaats; found in cv schrijven results"
14,B,Marktplaats,malem / brief laten schrijven,malem,,,"https://www.marktplaats.nl",https://www.marktplaats.nl/q/sollicitatiebrief%2Bschrijven/,Amsterdam,7,new,"Listing offers professional sollicitatiebrieven in Dutch and English; related to CV service audience","Ask if they also handle CVs or only letters before pitching any CV workflow","Lower fit because listing is brief-first, not explicit CV writing in snippet"
15,B,Marktplaats,Tweehandjes / sollicitatiebrief met CV optioneel,Tweehandjes,,,"https://www.marktplaats.nl",https://www.marktplaats.nl/q/sollicitatiebrief%2Bschrijven/,Gouda,7,new,"Listing says sollicitatiebrief with CV optional / CV maken remains difficult for clients","Ask whether CV optional work happens often enough to justify a lightweight editor","Use Marktplaats message"
16,B,Marktplaats,Hendrielle / tekst nakijken-schrijven,Hendrielle,,,"https://www.marktplaats.nl",https://www.marktplaats.nl/q/sollicitatiebrief%2Bschrijven/,Amersfoort,6,new,"Text writer offering help with structure/style including sollicitatiebrief in listing snippet","Ask first whether CV documents are a recurring part of her writing jobs","Weaker fit; qualify before full pitch"
17,B,LinkedIn,Professioneel profiel Pieter Koevoets / WerkETcetera,Pieter Koevoets,,,"https://nl.linkedin.com/in/pieterkoevoets",https://nl.linkedin.com/in/pieterkoevoets,Woudenberg,7,new,"LinkedIn services include CV beoordeling and Schrijven van CV's","Ask process-first via LinkedIn: whether he rewrites CVs himself or only coaches candidates","No public email found; LinkedIn outreach only"
18,C,LinkedIn/direct website,Mentaris Coaching Training en Advies,Margot Thomassen,,,"https://www.mentaris.nl",https://www.mentaris.nl/,Rotterdam,6,new,"LinkedIn service result includes Schrijven van CV's; site has Krachtig solliciteren but is mostly coaching/training","Ask first if CV writing is hands-on or only coaching before pitching","Lower fit because website is broad coaching"
19,C,Google/direct website,Elffers,,info@elffers.nl,085-8768900,https://www.elffers.nl,https://www.elffers.nl/diensten/individuele-begeleiding/career-switch,Baarn / Oegstgeest / Gorssel,6,new,"Career Switch program translates work experience into an attractive CV and optimizes CV/LinkedIn/profile","Potential agency/white-label angle if they produce many candidate CVs in outplacement","Bigger/broader business; not first 10 outreach"
