account_name,segment,city,website,linkedin_company,contact_name,contact_role,contact_linkedin,contact_email,source,status,pain_signal,first_outreach_date,last_touch_date,next_step,next_step_date,demo_date,pilot_interest,estimated_monthly_volume,notes
"Isrid","solo recruiter / boutique","Amsterdam","https://isrid.nl/","","Isrid van Geuns","Founder / recruiter","","me@isrid.nl","official_site","ready_to_send","Owner-led recruiter and career coach; likely values polished candidate presentation and fast branded output","","","Send personalized email plus LinkedIn referencing owner-led fashion/luxury positioning","2026-03-30","","","5-15","Direct email and phone are public; good fast-feedback pilot prospect. Personalized copy prepared in AGENCY_OUTREACH_WAVE1_PERSONALIZED_2026-03-30.md"
"JL Executive Search","solo executive search boutique","Amsterdam","https://jlexecutivesearch.com/en/ABOUT-ME/","","Jeroen Looman","Founder","","jlooman@jlexecutivesearch.com","official_site","ready_to_send","Personal executive search boutique; high-trust candidate presentation likely still manual","","","Send founder-to-founder email focused on boutique workflow and branded candidate packs","2026-03-30","","","3-10","Very qualified because the site is explicitly personal, reliable, and dedicated. Personalized copy prepared in AGENCY_OUTREACH_WAVE1_PERSONALIZED_2026-03-30.md"
"Jopportunity","founder-led executive search","Wijk bij Duurstede","https://www.jopportunity.nl/","","Rutger van Drongelen","Founder / director","","rutger@jopportunity.nl","official_site","ready_to_send","Founder-led executive search with exclusive assignments and CV coaching angle already visible","","","Send personalized email citing exclusive assignments and candidate-facing presentation quality","2026-03-30","","","10-25","Strong fit; public email, phone, and founder page are available. Personalized copy prepared in AGENCY_OUTREACH_WAVE1_PERSONALIZED_2026-03-30.md"
"HUYSvanRECRUITERS","collective of independent recruiters","Capelle aan den IJssel","https://huysvanrecruiters.nl/","https://www.linkedin.com/company/huys-van-recruiters/","Dic Gaasbeek","Director","","dic@huysvanrecruiters.nl","official_site","ready_to_send","Collective of zelfstandig recruiters; candidate introduction and inhouse recruiter workflow suggest presentation pain at scale","","","Send email focused on reducing candidate-CV formatting work across multiple recruiters","2026-04-02","","","30-100","Qualified but slightly larger; still relevant because the firm is a platform of independent recruiters. Personalized copy prepared in AGENCY_OUTREACH_WAVE2_PERSONALIZED_2026-04-02.md"
"The Search","boutique recruitment / coaching / advisory","","https://thesearch.nl/","","Sandra Lemmens","Founder / recruiter","https://www.linkedin.com/in/sandralemmens/","sandra.lemmens@thesearch.nl","official_site","ready_to_send","They sell recruitment partner, coaching, ATS and candidate experience advice, so presentation quality is a natural hook","","","Send personalized email referencing recruitment partner and candidate-experience advisory positioning","2026-03-30","","","5-20","Good fit because they combine recruitment with advisory and coaching. Personalized copy prepared in AGENCY_OUTREACH_WAVE1_PERSONALIZED_2026-03-30.md"
"The Recruitment Agency","boutique werving & selectie / interim","Amsterdam","https://www.therecruitmentagency.nl/","","Laurie Meiring","Founder","","info@therecruitmentagency.nl","official_site","ready_to_send","Their site explicitly says a vacancy should be presented as a visitekaartje and promises one fixed contactperson","","","Send email referencing their visitekaartje language and personal touch","2026-03-30","","","10-30","Very good fit; public founder story plus company email. Personalized copy prepared in AGENCY_OUTREACH_WAVE1_PERSONALIZED_2026-03-30.md"
"ONETD Group","werving & selectie / executive search","Amsterdam","https://onetdgroup.nl/werving-selectie/","","Sietse Brands","Director","","sietse@onetd.nl","official_site","ready_to_send","They explicitly say they present clients with uitgebreide profielen, which maps directly to your offer","","","Send email referencing extended candidate profiles and faster branded client-ready docs","2026-04-02","","","20-50","High signal because the current workflow already includes profile presentation. Personalized copy prepared in AGENCY_OUTREACH_WAVE2_PERSONALIZED_2026-04-02.md"
"Barnes Sales","specialist recruitment boutique","Amsterdam","https://barnessales.nl/over-ons/","","Maya Seur","Managing Partner","","maya@barnes.nl","official_site","ready_to_send","Small specialist sales-recruitment team; personal approach and niche focus suggest manual candidate presentation still matters","","","Send email focused on speeding up polished sales candidate submissions without a heavy tool rollout","2026-04-02","","","10-30","Public direct email and managing-partner detail available. Personalized copy prepared in AGENCY_OUTREACH_WAVE2_PERSONALIZED_2026-04-02.md"
"Apollo Executive Search","boutique executive search","Amsterdam","https://apolloexecutivesearch.com/","","Peter Zeeuw van der Laan","Managing Partner / co-founder","","peter@apolloexecutivesearch.com","official_site","ready_to_send","High-trust executive search with direct partner contacts; polished client-facing candidate documents matter","","","Send founder-level email positioning this as a small pilot for client-facing candidate packs","2026-04-02","","","5-15","Qualified but premium; keep messaging sharp and discreet. Personalized copy prepared in AGENCY_OUTREACH_WAVE2_PERSONALIZED_2026-04-02.md"
"Finest People","digital recruitment specialist","Amsterdam","https://finestpeople.com/en/services/executive-search/","","Umut Yasar","Founder","","info@finestpeople.nl","official_site","ready_to_send","Niche digital recruiter with executive search and employer-facing contact flow; likely has recurring candidate presentation needs","","","Send personalized email around faster branded submissions for digital leadership candidates","2026-04-03","","","10-30","Slightly larger than ideal but still niche and relevant. Only the company inbox is publicly visible on the official site. Personalized copy prepared in AGENCY_OUTREACH_WAVE3_PERSONALIZED_2026-04-03.md"
"e-search","boutique executive search","Amsterdam","https://www.e-search.nl/about","","Ernst Monkhorst","Owner & Founder","https://www.linkedin.com/in/emonkhorst/","","official_site","ready_to_send","Boutique executive search for owner-managed organizations; high-touch candidate presentation is likely part of the process","","","Send via website contact route or LinkedIn first","2026-04-03","","","5-15","Qualified target, but no public founder email was cleanly verifiable from the official site during research. Personalized copy prepared in AGENCY_OUTREACH_WAVE3_PERSONALIZED_2026-04-03.md"
"Bridgewell","executive search / interim boutique","Amsterdam","https://www.bridgewell.nl/en/","","","Office contact","","info@bridgewell.nl","official_site","ready_to_send","Dutch executive search and interim boutique; strong fit for client-ready candidate documents with polished output","","","Send a short founder-led email focused on discreet, client-ready candidate packs for boutique search workflows","2026-04-10","","","5-15","Public office inbox and phone on the official site. Source: https://www.bridgewell.nl/en/"
"Glasford International Netherlands","boutique executive search","Amsterdam","https://glasford.com/global-offices/the-netherlands/","","Miguel Swaen","Contact person","","m.swaen@glasford.com","official_site","ready_to_send","Boutique executive search positioning in the Dutch market with named contact and direct email","","","Send a discreet founder email referencing Dutch executive search workflow and polished candidate presentation","2026-04-10","","","5-15","Named Dutch contact published on the official Netherlands office page. Source: https://glasford.com/global-offices/the-netherlands/"
"HPW Executive Search","executive search boutique","Amsterdam / The Hague","https://www.hpwexecutivesearch.com/en/contact/","","","Office contact","","info@hpwexecutivesearch.com","official_site","ready_to_send","Executive search firm with Amsterdam office and public office inbox; suitable for discreet founder-led outreach","","","Send a concise email focused on reducing manual CV cleanup for client submissions","2026-04-10","","","5-15","Public contact inbox listed on the official contact page. Source: https://www.hpwexecutivesearch.com/en/contact/"
"Frans Executive Search","executive search boutique","Amsterdam","https://www.frans-international.com/","","","Office contact","","info@frans-international.com","official_site","ready_to_send","Small executive search firm focused on legal, tech and board roles; personal approach makes it a strong boutique target","","","Send a founder-level email focused on faster client-ready candidate documents without heavy tooling","2026-04-10","","","5-15","Official site lists public contact email and mobile number. Source: https://www.frans-international.com/"
"Larsen Executive Search","executive search boutique","Amsterdam","https://www.larsen.nl/en/home-en/","","","Office contact","","info@larsen.nl","official_site","ready_to_send","Senior-management executive search in the Netherlands with public contact info and emphasis on discretion","","","Send a discreet outreach email positioning WerkCV as a boutique workflow improvement","2026-04-10","","","5-15","Public office inbox on the official site. Source: https://www.larsen.nl/en/home-en/"
